ID,Language_ID,Parameter_ID,Value
cel-pro-context,cel-pro,context,"The reconstructed common ancestor of the Celtic languages, usually placed in the later second millennium BCE and marked by the loss of Indo-European *p; from it descend Gaulish, Celtiberian and the living Goidelic and Brythonic lines. It reaches this library through the etymology desk's cognate lists as a reconstruction node."
cel-pro-provenance,cel-pro,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cent2264-name,cent2264,name,Central Iran Kermanic
cent2264-family,cent2264,family,"Iranian (Northwestern, Central Plateau)"
cent2264-context,cent2264,context,"This code is a Glottolog id arriving via a CLDF source: cent2264 is Glottolog's Central Iran Kermanic, the family of Central Plateau dialects spoken in a scatter of towns and villages of central Iran between Kashan, Isfahan and Yazd. These Northwestern Iranian varieties — among them the dialects of the Zoroastrian communities and village vernaculars like Raji — survive as islands in a Persian-speaking sea; the wordlist filed here is IE-CoR's Raji of Barzok, near Kashan. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
cent2264-provenance,cent2264,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ces-name,ces,name,Czech
ces-family,ces,family,Slavic (West)
ces-context,ces,context,"Czech is a West Slavic language, official in the Czech Republic with about ten million speakers and mutually intelligible to a high degree with Slovak. Its literary tradition goes back to the medieval kingdom of Bohemia, and the orthographic reform credited to Jan Hus gave Latin-script Slavic its diacritics, háček included; the data here includes both modern and Old Czech. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Slavic relatives."
ces-provenance,ces,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
chk-name,chk,name,Chuukese
chk-family,chk,family,Austronesian (Micronesian)
chk-context,chk,context,"The largest language of the Federated States of Micronesia, spoken in the Chuuk lagoon; its German-era and Japanese-era loanwords record the colonial layers of the Carolines. It reaches this library through the etymology desk's cognate lists."
chk-provenance,chk,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
chu-name,chu,name,Old Church Slavonic
chu-family,chu,family,South Slavic
chu-context,chu,context,"The OCS canon, 9th–11th c.: Codex Marianus, Suprasliensis, and the four CCMH gospel manuscripts. Wiktionary-OCS (4.6k entries) glosses it; its etymology edges arrive under Wiktionary's code ""cu""."
chu-provenance,chu,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
cic-name,cic,name,Chickasaw
cic-family,cic,family,Muskogean
cic-context,cic,context,"The Muskogean language of the Chickasaw Nation of Oklahoma, sister to Choctaw, down to a few dozen native speakers but the object of a vigorous revitalization program. It reaches this library through the etymology desk's cognate lists."
cic-provenance,cic,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cim-name,cim,name,Cimbrian
cim-family,cim,family,"Indo-European (Germanic, West)"
cim-context,cim,context,"The archaic Bavarian enclave language of the former Seven and Thirteen Communities in the Venetian Alps and of Luserna in Trentino, planted by medieval settlers and preserving Middle High German traits lost in the homeland. Only Luserna still passes it to children. It reaches this library through the etymology desk's cognate lists."
cim-provenance,cim,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ckb-name,ckb,name,Central Kurdish
ckb-family,ckb,family,"Iranian (Northwestern, Kurdish)"
ckb-context,ckb,context,"Central Kurdish, or Sorani, is one of the two main literary forms of Kurdish, a Northwestern Iranian language: spoken in Iraqi Kurdistan and western Iran, written in a modified Arabic script, and co-official in Iraq. The wordlist filed here records the Jafi variety. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Iranian relatives."
ckb-provenance,ckb,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
ckm-name,ckm,name,Chakavian
ckm-family,ckm,family,"Indo-European (Slavic, South)"
ckm-context,ckm,context,"The coastal and island Croatian dialect group marked by the interrogative ča, bearer of the earliest Croatian literacy from the Baška tablet to Renaissance poetry, and holder of its own ISO code since 2020. It reaches this library through the etymology desk's cognate lists."
ckm-provenance,ckm,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
cmn-name,cmn,name,Mandarin Chinese
cmn-family,cmn,family,Sinitic
cmn-context,cmn,context,"Modern standard Chinese. No corpus under this code — the classical corpus lives under lzh, the reconstructed stages under och and ltc. Held: the WOLD Mandarin Chinese loanword vocabulary (Wiebusch, in Haspelmath & Tadmor 2009; 2,130 entries) and 66 reflex edges."
cmn-provenance,cmn,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
cms-name,cms,name,Messapic
cms-family,cms,family,"Messapic < Indo-European (Balkan; affiliation debated, often linked with Illyrian)"
cms-context,cms,context,"The Indo-European language of pre-Roman Apulia (the Salento peninsula), 6th–1st c. BCE, in a Greek-derived alphabet. Not Italic: its usual affiliation is Balkan (""Illyrian"" in older scholarship) — recorded as its own branch, honestly."
cnx-name,cnx,name,Middle Cornish
cnx-family,cnx,family,Celtic (Brythonic)
cnx-context,cnx,context,"Middle Cornish is the Brythonic Celtic of Cornwall from roughly 1200 to 1600, the best-attested stage of the language, preserved chiefly in verse drama — the Ordinalia cycle and other religious plays composed in the orbit of Glasney College. Cornish declined thereafter and died as a community language in the 18th century; the modern revival leans above all on the Middle Cornish corpus. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Celtic relatives."
cnx-provenance,cnx,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
cop-name,cop,name,Coptic
cop-family,cop,family,Egyptian < Afro-Asiatic
cop-context,cop,context,"The last stage of Egyptian (Greek alphabet + Demotic letters), 3rd c. CE onward — documentary papyri of Christian Egypt plus the coptic-scriptorium literary shelf (Shenoute, apophthegmata, biblical books) with gold lemmas."
cop-provenance,cop,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
cor-name,cor,name,Cornish
cor-family,cor,family,Celtic (Brythonic) < Indo-European
cor-context,cor,context,"Brythonic Celtic language of Cornwall, sister of Welsh and Breton, attested from Old Cornish glosses (~10th century) through the Middle Cornish miracle plays to the Late Cornish of the 17th–18th centuries, when it ceased to be community speech; the 20th-century revival rebuilt it from exactly such records. The library holds it through Robert Williams's Lexicon Cornu-Britannicum (1865), the revival era's foundational dictionary, on the local shelf (408 passages), with IE-CoR's Late Cornish cognate variety below."
cor-provenance,cor,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
cpg-name,cpg,name,Cappadocian Greek
cpg-family,cpg,family,Hellenic
cpg-context,cpg,context,"Cappadocian Greek is a cluster of Greek varieties from central Anatolia which, cut off from the rest of the Greek world after the Turkish conquests, developed under intense Turkish influence — vowel harmony, agglutinative-looking inflection — into a textbook example of contact-driven restructuring. Its speakers were removed to Greece in the 1923 population exchange, and the language was believed extinct until surviving speakers were rediscovered in 2005. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Greek relatives."
cpg-provenance,cpg,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
cpi-name,cpi,name,Chinese Pidgin English
cpi-family,cpi,family,English-lexified pidgin
cpi-context,cpi,context,"The trade pidgin of Canton and the treaty ports from the 18th to early 20th century, source of phrases like 'long time no see' and ancestor of some Pacific pidgin vocabulary. It reaches this library through the etymology desk's cognate lists."
cpi-provenance,cpi,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
crp-name,crp,name,Creoles and pidgins
crp-context,crp,context,"Contact languages — Russenorsk (crp-rsn), Taimyr Pidgin Russian (crp-tpr), Solombala English (crp-slb)…."
crp-provenance,crp,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
crp-mar-name,crp-mar,name,Maroon Spirit Language
crp-mar-family,crp-mar,family,English-lexified ritual creole
crp-mar-context,crp-mar,context,"The ceremonial language of the Jamaican Maroons of Moore Town, an archaic creole close to the Surinamese branch, used in Kromanti possession rites rather than daily speech. Wiktionary assigns it an exceptional code in the creole family. It reaches this library through the etymology desk's cognate lists."
crp-mar-provenance,crp-mar,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
crp-rsn-name,crp-rsn,name,Russenorsk
crp-rsn-family,crp-rsn,family,Russian-Norwegian pidgin
crp-rsn-context,crp-rsn,context,"The winter-trade pidgin of the Pomor commerce between Russian and Norwegian fishermen in the Arctic, mixing the two lexicons about equally; it died with the trade after 1917. It reaches this library through the etymology desk's cognate lists from both its parent languages."
crp-rsn-provenance,crp-rsn,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
crp-slb-name,crp-slb,name,Solombala English
crp-slb-family,crp-slb,family,Russian-English pidgin
crp-slb-context,crp-slb,context,"The scantily attested English-Russian pidgin of the Solombala shipyards at Arkhangelsk, recorded in a few 19th-century phrases from the timber trade. It reaches this library through the etymology desk's cognate lists."
crp-slb-provenance,crp-slb,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
crs-name,crs,name,Seselwa Creole French
crs-family,crs,family,French-based creole
crs-context,crs,context,Seselwa (Seychellois Creole) is a French-based creole and a national language of the Seychelles in the western Indian Ocean. Held as the WOLD Seychelles Creole vocabulary (Susanne Michaelis with Marcel Rosalie and Katrin Muhme; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk.
crs-provenance,crs,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
cs-name,cs,name,Czech
cs-family,cs,family,"Indo-European (Slavic, West)"
cs-context,cs,context,The ISO 639-1 alias of ces — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
cs-provenance,cs,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
csb-name,csb,name,Kashubian
csb-family,csb,family,"Slavic (West, Lechitic)"
csb-context,csb,context,"Kashubian is a West Slavic language of the Lechitic group, spoken by tens of thousands of people in Pomerania, northwestern Poland — the closest living relative of Polish and the only survivor of the once wider Pomeranian dialect continuum. Written in a Latin orthography of its own, it has been a recognized regional language of Poland since 2005. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Slavic relatives."
